NR_ZONA;NR_SECAO;NM_VOTAVEL;QT_VOTOS;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
6;300;WELLINGTON LUIZ DE SOUZA SILVA;19;ESCOLA CLASSE ESTANCIA;DF 14 LT 63/67 COND. ESTANCIA PLANALTINA
13;389;WELLINGTON LUIZ DE SOUZA SILVA;17;ESCOLA CLASSE 604;QS 604 AE
17;330;WELLINGTON LUIZ DE SOUZA SILVA;13;CENTRO EDUCACIONAL 06 DO GAMA;EQ 02/07 A.E. S.LESTE
17;383;WELLINGTON LUIZ DE SOUZA SILVA;13;CENTRO DE ENSINO FUNDAMENTAL 03 DO GAMA;E Q 6/11 A. E.S.LESTE
17;300;WELLINGTON LUIZ DE SOUZA SILVA;13;ESCOLA CLASSE 03 DO GAMA;E/Q 10/15 - AE SETOR LESTE
13;541;WELLINGTON LUIZ DE SOUZA SILVA;13;ESCOLA CLASSE 419;QS 419 AE 01
10;86;WELLINGTON LUIZ DE SOUZA SILVA;12;CENTRO DE ENSINO TELEBRASILIA;QN 01 LOTE 01/02 - RIACHO FUNDO I 
10;245;WELLINGTON LUIZ DE SOUZA SILVA;11;CENTRO EDUCATIVO PASSIONISTA MAE DA SANTA ESPERANCA;QN 05 AE 02 - RIACHO FUNDO I
16;251;WELLINGTON LUIZ DE SOUZA SILVA;11;ESCOLA CLASSE 65;QNR 02 - AREA ESPECIAL 04
10;193;WELLINGTON LUIZ DE SOUZA SILVA;11;CENTRO DE ENSINO TELEBRASILIA;QN 01 LOTE 01/02 - RIACHO FUNDO I 
6;399;WELLINGTON LUIZ DE SOUZA SILVA;11;ESCOLA CLASSE ESTANCIA;DF 14 LT 63/67 COND. ESTANCIA PLANALTINA
21;309;WELLINGTON LUIZ DE SOUZA SILVA;11;ESCOLA CLASSE 511 DE SAMAMBAIA;QR 511 AREA ESPECIAL 02 SAMAMBAIA-DF
13;555;WELLINGTON LUIZ DE SOUZA SILVA;11;ESCOLA CLASSE 108;QS 108/110 AE 01
6;309;WELLINGTON LUIZ DE SOUZA SILVA;11;ESCOLA CLASSE ESTANCIA;DF 14 LT 63/67 COND. ESTANCIA PLANALTINA
13;391;WELLINGTON LUIZ DE SOUZA SILVA;11;ESCOLA CLASSE 604;QS 604 AE
17;229;WELLINGTON LUIZ DE SOUZA SILVA;11;CENTRO EDUCACIONAL ENGENHO DAS LAJES;BR 060 KM 30 - RODOVIA BSB/GOIANIA
13;528;WELLINGTON LUIZ DE SOUZA SILVA;11;ESCOLA CLASSE 419;QS 419 AE 01
