"RA","2019","2020","2021","2022","2023","2024","2025","2026","QUANTIDADE"
"ARAPOANGA","","","","","","","125","205","330"
"BRAZLANDIA","1380","","250","8","16","21","155","29","1859"
"CANDANGOLÂNDIA","","","","","1","","0","4","5"
"CEILÂNDIA","","","","283","29","76","38","","426"
"ESTRUTURAL","","","","","7","","0","","7"
"GAMA","","","","","1","","15","","16"
"GUARÁ","","","","","6","7","6","","19"
"PLANALTINA","","","","","26","30","33","","89"
"RECANTO DAS EMAS","","","","731","","107","66","9","913"
"RIACHO FUNDO I","","","","9","3","33","10","","55"
"RIACHO FUNDO II","","","","551","157","206","54","6","974"
"SAMAMBAIA","","","","853","","110","55","","1018"
"SANTA MARIA","","","","","7","5","6","6","24"
"SÃO SEBASTIÃO","","","","","10","92","103","32","237"
"SOBRADINHO I","","","","","1","","1","","2"
"SOBRADINHO II","","","","","5","5","8","","18"
"SOL NASCENTE","","","","","","78","14","","92"
"TAGUATINGA/AREAL","","","","7","","5","9","","21"
"VARJÃO","","","21","","6","1","1","","29"
"VILA PLANALTO","","","","44","33","27","15","","119"
"VILA TELEBRASILIA","","","","","6","","","","6"
