"RA","2019","2020","2021","2022","2023","2024","2025","2026","TOTAL"
"BRAZLANDIA","","","","2","1","2","","","5"
"CANDANGOLÂNDIA","","1","","2","","1","","","4"
"CEILÂNDIA","","2","8","19","8","7","","2","46"
"ESTRUTURAL","","3","10","5","2","3","5","","28"
"GAMA","","","","2","","","1","","3"
"GUARÁ","","1","2","5","","1","","","9"
"PLANALTINA","","3","7","23","2","6","2","","43"
"RECANTO DAS EMAS","","","5","13","8","16","","2","44"
"RIACHO FUNDO I","","","4","2","","","2","","8"
"RIACHO FUNDO II","","","8","19","7","3","","1","38"
"SAMAMBAIA","","1","22","28","15","12","7","","85"
"SANTA MARIA","","","4","4","1","","2","1","12"
"SÃO SEBASTIÃO","1","1","6","18","2","1","2","","31"
"SOBRADINHO I","","","1","1","","","","","2"
"SOBRADINHO II","","2","5","14","2","5","5","","33"
"SOL NASCENTE","","","","","","","1","","1"
"TAGUATINGA/AREAL","","","6","10","1","7","1","","25"
"VARJÃO","","","4","8","2","2","","","16"
"VILA PLANALTO","1","","8","2","2","","1","","14"
"VILA TELEBRASILIA","","","1","3","","","","","4"
